MeetID,Sex,Equipment,Age,Division,BodyweightKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
7098,F,Raw,50.5,R-M2,89.04,72.5,57.5,107.5,237.5,206.14
5626,M,Raw,,Masters 40-44,202.3,,217.72,,217.72,115.72
5927,M,Single-ply,,Boys,59.87,185.97,104.33,192.78,483.08,412.82
6045,M,Single-ply,,Boys,63.5,92.99,74.84,129.27,297.1,240.98
2160,M,Single-ply,,Master 40-49,80.4,250.0,140.0,250.0,640.0,435.56
8175,M,Raw,29.0,Open,89.9,247.5,150.0,275.0,672.5,429.56
1181,F,Raw,,F-J-U,69.0,127.5,65.0,155.0,347.5,349.18
59,M,Multi-ply,23.0,M_JEM_WPC,67.5,250.0,135.0,225.0,610.0,470.32
7308,F,Raw,18.5,R-C,61.2,85.0,45.0,90.0,220.0,241.55
741,M,Single-ply,,Junior,73.7,195.0,110.0,220.0,525.0,378.73
1501,M,Single-ply,,,56.0,177.5,115.0,222.5,515.0,468.83
3680,M,Single-ply,,Junior 19-23,80.9,195.0,122.5,212.5,530.0,359.31
4296,M,Raw,25.0,Open,124.7,,165.0,240.0,,
244,M,Raw,49.0,M-A-O,103.87,,155.0,,155.0,92.98
7130,F,Raw,,R-JR,66.7,122.5,67.5,132.5,322.5,331.99
7849,M,Raw,22.0,Junior Men 20-23,79.92,,95.0,,95.0,64.9
7738,F,Raw,38.0,Submaster Women 35-39,66.86,,,175.0,175.0,179.84
7218,M,Raw,19.5,R-O,82.74,150.0,90.0,185.0,425.0,284.22
7966,M,Wraps,23.0,Open Men,106.4,315.0,182.5,327.5,825.0,490.738
7986,M,Wraps,24.0,Open,122.0,210.0,130.0,255.0,595.0,340.8
5226,M,Wraps,,Amateur Junior 20-23,67.13,158.76,124.74,222.26,505.76,391.67
8139,F,Raw,37.0,Submaster,74.5,82.5,47.5,127.5,257.5,245.823
2364,M,Single-ply,,Teen 14-18,72.2,,102.5,,102.5,75.05
3898,M,Single-ply,,Open,117.1,,,,,
1348,M,Multi-ply,39.0,Middleweight,99.38,376.48,,,,
1550,M,Raw,,m1,96.21,,120.0,227.5,347.5,214.94
1184,M,Raw,,Master 1,102.0,217.5,135.0,230.0,582.5,351.78
3921,F,Single-ply,,Open,51.0,85.0,57.5,87.5,230.0,291.04
6020,M,Single-ply,,Boys,86.36,233.6,151.95,226.8,612.35,399.57
7091,F,Raw,,R-M1,83.1,182.5,105.0,225.0,512.5,459.51
7511,M,Raw,,Open,100.0,,190.0,,190.0,115.63
2394,M,Single-ply,,Teen 14-18,73.2,172.5,112.5,180.0,465.0,337.09
5077,M,Wraps,,Amateur Submaster,129.55,224.53,142.88,231.33,598.74,338.86
167,F,Raw,,Open,55.9,100.0,55.0,140.0,295.0,347.59
6084,M,Single-ply,,Boys,65.91,,,,,
1485,F,Raw,35.5,Open,56.25,122.5,77.5,152.5,352.5,413.31
6433,M,Single-ply,,Boys,58.97,97.52,52.16,104.33,254.01,220.12
7907,M,Raw,18.0,Junior 18-19,51.45,142.5,82.5,160.0,385.0,382.04
6934,M,Single-ply,,M2b,87.1,,127.5,,127.5,82.81
7022,M,Raw,,R-M2a,110.7,185.0,110.0,220.0,515.0,302.49
6054,M,Single-ply,,Boys,64.05,136.08,70.31,147.42,353.8,284.86
6477,M,Wraps,24.0,MOR,138.8,415.0,250.0,402.5,1067.5,597.3
4815,M,Raw,24.5,,113.5,207.5,140.0,230.0,577.5,336.76
7783,M,Raw,42.0,Open Men,74.21,230.0,178.0,242.5,650.5,466.98
5784,F,Raw,42.0,40-44,63.96,104.33,77.11,149.69,331.12,351.58
6273,M,Single-ply,,Boys,118.84,190.51,106.59,215.46,512.56,295.36
7815,F,Raw,36.0,Submaster Women 35-39,105.05,120.0,67.5,167.5,355.0,291.68
6196,M,Single-ply,,Boys,127.91,213.19,136.08,213.19,562.45,319.07
260,M,Raw,27.0,Open Men,74.8,192.5,102.5,235.0,530.0,378.36
1599,M,Wraps,,sm1,132.31,320.0,200.0,275.0,795.0,448.26
6560,M,Raw,25.0,MR-O,98.1,212.5,155.0,250.0,617.5,378.77
1568,M,Raw,,nov,73.71,175.0,137.5,215.0,527.5,380.5
2420,M,Single-ply,,Junior 19-23,91.0,150.0,160.0,200.0,510.0,323.78
7140,F,Raw,22.5,R-JR,73.7,,67.5,157.5,225.0,216.28
8088,M,Wraps,24.0,Open,114.3,287.5,142.5,242.5,672.5,391.4
7103,M,Raw,25.5,R-O,62.1,,82.5,,82.5,68.23
1334,F,Wraps,51.0,F-M3,51.7,100.0,70.0,110.0,280.0,350.62
7902,M,Raw,21.0,Junior 20-23,56.43,102.5,72.5,165.0,340.0,307.22
7558,M,Single-ply,32.0,Open Men,98.43,299.94,,,,
